,SPY,QQQ,TLT,GLD,USO
2006-01-03,,,,,
2006-01-04,,,,,
2006-01-05,,,,,
2006-01-06,,,,,
2006-01-09,,,,,
2006-01-10,,,,,
2006-01-11,,,,,
2006-01-12,,,,,
2006-01-13,,,,,
2006-01-17,,,,,
2006-01-18,,,,,
2006-01-19,,,,,
2006-01-20,,,,,
2006-01-23,,,,,
2006-01-24,,,,,
2006-01-25,,,,,
2006-01-26,,,,,
2006-01-27,,,,,
2006-01-30,,,,,
2006-01-31,,,,,
2006-02-01,0.09781023575479629,0.16117516175424587,0.06926676992031218,0.21448525887183234,0.0
2006-02-02,0.10570634310196571,0.1693502999841009,0.06898127621074703,0.21455922417297973,0.0
2006-02-03,0.10702580984671782,0.1735491700321149,0.07440679433950734,0.20430599519528606,0.0
2006-02-06,0.10267465434350241,0.1579033956688744,0.07464624202405123,0.1863262527924649,0.0
2006-02-07,0.10580085273248742,0.15635445525891567,0.07626358798050413,0.22747183284922062,0.0
2006-02-08,0.11182260907169339,0.16397871847891982,0.07122543774631176,0.22475079972197698,0.0
2006-02-09,0.11081341972006005,0.16174026652240533,0.07288756880530077,0.2388372719787863,0.0
2006-02-10,0.11074718962128713,0.16468249898286125,0.07115514113067478,0.2564016304791145,0.0
2006-02-13,0.11080330203616463,0.16759952659521746,0.06727120078564171,0.25637915840957404,0.0
2006-02-14,0.11772008205525636,0.17319038364602787,0.06500416888486273,0.2622721750029114,0.0
2006-02-15,0.11754002666834011,0.17194123338127837,0.06620722298096811,0.25513902406561595,0.0
2006-02-16,0.1197438763131006,0.17331074165078758,0.06594848960573202,0.23890323810165714,0.0
2006-02-17,0.09857727841312446,0.13916334297801963,0.07216374189654347,0.23975032667729898,0.0
2006-02-21,0.09893335053661813,0.14466621899733595,0.07225172474406169,0.23689779975534242,0.0
2006-02-22,0.10067029134843761,0.15111285449365433,0.07508420015162753,0.23742411614287964,0.0
2006-02-23,0.10107770275775163,0.15061563690038668,0.06419686030328271,0.2395402968515329,0.0
2006-02-24,0.09984256704665223,0.14866567265587313,0.06227394936577592,0.24888897955114886,0.0
2006-02-27,0.09472222365011626,0.1460072232337936,0.0627160538167105,0.24984345856201481,0.0
2006-02-28,0.10098218346887118,0.15435049689054214,0.06448887285601426,0.24659289065612472,0.0
2006-03-01,0.1019217132986651,0.16250147630590106,0.06821365910877215,0.24660136386426312,0.0
2006-03-02,0.09924112648475569,0.16190161812196402,0.07180993260680106,0.2501561473546374,0.0
2006-03-03,0.0907889835343345,0.15115045383822334,0.07436906081936764,0.2511311540448486,0.0
2006-03-06,0.09047985028658138,0.1477219368154087,0.07470464732377978,0.25794868317301883,0.0
2006-03-07,0.09056030598940956,0.14897201347446085,0.07413366279647124,0.25765077689050986,0.0
2006-03-08,0.08355570670647924,0.14802048134693235,0.0729629583495849,0.22929506931419436,0.0
2006-03-09,0.08233701421403213,0.14497725751481544,0.072907782422156,0.22952665686864065,0.0
2006-03-10,0.08811846158983767,0.14124701840274884,0.07074128979425662,0.21056207217509898,0.0
2006-03-13,0.08812535100338179,0.13981255863800734,0.06890978658263854,0.19583458629999023,0.0
2006-03-14,0.09377561357560284,0.14598500333680733,0.07406233534531789,0.185481302096196,0.0
2006-03-15,0.08822792781580782,0.14473525581220767,0.07530922083083806,0.17939332605659453,0.0
2006-03-16,0.08786556013802242,0.14698820328377013,0.08235800553498912,0.17181116825363393,0.0
2006-03-17,0.08456890268200083,0.1434923197876242,0.08282950734460687,0.16608303213271647,0.0
2006-03-20,0.0840555445828868,0.14060118820138148,0.07696057848533604,0.16373917035620378,0.0
2006-03-21,0.08707435760254911,0.1399855042957927,0.07841457145388232,0.16494031132680093,0.0
2006-03-22,0.08709570299461544,0.13291572700297086,0.07377711068480751,0.16423106746623117,0.0
2006-03-23,0.08731471663435807,0.13298433141218027,0.07395057825584085,0.15786205883896742,0.0
2006-03-24,0.0870163531613633,0.13391385662297206,0.08011476507666379,0.1581117159146958,0.0
2006-03-27,0.08730043646501912,0.12743712103319937,0.08069952053654801,0.16094471099594168,0.0
2006-03-28,0.08295071157124628,0.11653858020545232,0.08264926819929255,0.15340835437923944,0.0
